,abbreviation,meaning
3429,pts,"patient, patients"
3430,PTSD,post-traumatic stress disorder
3431,PTU,propylthiouracil
3432,PTX,pneumothorax
3433,Pu,Plutonium (element)
3434,PU,"passed urine, peptic ulcer"
3435,PUBS,percutaneous umbilical blood sampling
3436,PUD,peptic ulcer disease
3437,PuD,pulmonary disease
3438,PUFA,polyunsaturated fatty acid
3439,PUL,percutaneous ultrasonic lithotripsy
3440,pul,pulmonary
3441,pulm,pulmonary
3442,pulv,powder (pulvis)
3443,PUO,pyrexia of unknown origin
3444,PUS,prostate ultrasound
3445,PUVA,psoralen ultraviolet a
3446,PV,polycythemia vera
3447,PVC,premature ventricular contraction
3448,PVD,peripheral vascular disease
3449,PVE,prosthetic valve endocarditis
3450,PVP,polyvinylpyrrolidone
3451,PVR,peripheral vascular resistance
3452,PVRI,Pulmonary Vascular Resistance Index
3453,PVS,persistent vegetative state
3454,PVT,paroxysmal ventricular tachycardia
3455,PWA,person with AIDS
3456,PWB,partial weight bearing
3457,Px,prognosis
3458,PZA,pyrazinamide
3459,PZI,protamine zinc insulin
3460,q,"every (quaque), each"
3461,Q,quickening
3462,q.1h,every 1 hour
3463,q.2h,every 2 hours
3464,q.3h,every 3 hours
3465,q.4h,every 4 hours
3466,q.5h,every 5 hours
3467,q.6h,every 6 hours
3468,q.8h,every 8 hours
3469,q.d.,"every day (quaque die), once daily"
3470,q.h.,every hour (quaque hora)
3471,q.i.d.,four times a day (quater in die)
3472,q.l.,as much as wanted (quantum libet)
3473,q.o.d.,every other day (quaque altera die)
3474,q.p.,as much as desired (quantum placeat)
3475,q.s.,a sufficient quantity
3476,q.v.,as much as you please (quantum vis)
3477,QA,quality assurance
3478,QALY,quality-adjusted life year
3479,qam,every morning
3480,Qb,blood flow
3481,QC,quality control
3482,QCT,quantitative computed tomography
3483,qd,"every day, once daily"
3484,qh,every hour
3485,qhr,every hour (quaque hora)
3486,qhs,nightly at bedtime (quaque hora somni)
3487,QI,quality improvement
3488,QIA,quality impact assessment
3489,QID,four times a day
3490,QIO,quality improvement organization
3491,QIS,qualified in specialty
3492,QL,quality of life
3493,QM,quality management
3494,QMP,qualified medical practitioner
3495,qns,quantity not sufficient
3496,QOD,every other day
3497,QOF,quality and outcomes framework
3498,qoh,every other hour
3499,QoL,quality of life
3500,qon,every other night
3501,qp,as much as desired (quantum placeat)
3502,qPCR,real-time (quantitative) polymerase chain reaction
3503,QPNG,quinolone-resistant neisseria gonorrhea
3504,QS,quantity sufficient
3505,QS/QS,intrapulmonary shunting
3506,qt,quart
3507,quad,quadrant
3508,quant,quantitative
3509,qv,as much as desired (quantum vis)
3510,QWL,quality of work life
3511,r,rate
3512,R,respiration
3513,R&D,research and development
3514,R&R,rate and rhythm
3515,R&W,recreation and welfare
3516,R-L,right to left
3517,R-V,rectovaginal
3518,R.B.C.,red blood cells
3519,R/F,refill
3520,R/L,right to left
3521,R/O,rule out
3522,R/S,reschedule
3523,R/T,related to
3524,R0,basic reproduction number (R naught)
3525,RA,right atrium
3526,Ra,radium
3527,RAA,renin-angiotensin-aldosterone (system)
3528,RAAS,renin angiotensin aldosterone system
3529,RAC,right antecubital
3530,RACE,"rescue, alarm, confine, extinguish (fire safety)"
3531,RAD,radiation absorbed dose
3532,rad,radical
3533,RADAR,risk assessment of drugs analysis and response
3534,RAE,right atrial enlargement
3535,RAFa,right anterior forearm
3536,RAHA,hemagglutination assay
3537,RAI,radioactive iodine
3538,RAID,"rapid assessment, interface and discharge"
3539,RAIU,radioactive iodine uptake
3540,RAM,rapid alternating movements
3541,RANA,rheumatoid arthritis nuclear antigen
3542,RAO,right anterior oblique
3543,RAP,resident assessment protocol
3544,RAPD,relative afferent pupillary defect
3545,RAS,renal artery stenosis
3546,RAST,radioallergosorbent test
3547,RAT,rapid assessment and treatment
3548,RATx,radiation therapy
3549,rb,right bundle
3550,Rb,Rubidium (element)
3551,RBBB,right bundle branch block
3552,RBC,red blood cell(s)
3553,Rbcs,red blood cells
3554,RBE,relative biological effectiveness
3555,rBGH,recombinant bovine growth hormone
3556,RBRVS,resource-based relative value scale
3557,rBST,recombinant bovine somatotropin
3558,RBV,read back and verify
3559,RCA,right coronary artery
3560,RCF,right cubital fossa
3561,RCL,radial collateral ligament
3562,RCM,right costal margin
3563,RCP,respiratory care practitioner
3564,RCR,replication competent retrovirus
3565,RCS,Registered Cardiac Sonographer
3566,RCT,randomized clinical/controlled trial
3567,RD,retinal detachment
3568,RDA,recommended daily/dietary allowance
3569,RDH,Registered Dental Hygienist
3570,RDI,reference daily intake
3571,RDP,random donor platelets
3572,RDS,respiratory distress syndrome
3573,RDT,rising dose tolerance
3574,RDU,rheumatic disease unit
3575,RDW,red cell distribution width
3576,Re,Rhenium (element)
3577,RE,right eye
3578,ReA,reactive arthritis
3579,REBT,rational emotive behavioral therapy
3580,rec,recommend or recommended
3581,recc,recommend or recommended
3582,REE,resting energy expenditure
3583,ref,refuse(d)
3584,refl,reflex
3585,reg,regular
3586,REHAB,rehabilitation
3587,REI,reproductive endocrinology
3588,rel,related
3589,rem,removal
3590,REM,rapid eye movement (sleep)
3591,REMS,risk evaluation and mitigation strategy
3592,rep,repeated (repetatur)
3593,reps,repetitions
3594,RES,reticuloendothelial system
3595,resc,resuscitation
3596,resid,residual
3597,resp,response
3598,RET,rational emotive therapy
3599,retics,reticulocytes
3600,retro,retrograde
3601,rev,review
3602,RF,rheumatoid factor
3603,RFA,radiofrequency ablation
3604,RFB,rifabutin
3605,RFFF,radial forearm free flap
3606,RFt,right foot
3607,RFT,renal function test
3608,RG,right gluteal/gluteus
3609,RH,right hand
3610,Rh,Rhodium (element)
3611,RHD,rheumatic heart disease
3612,RHF,right heart failure
3613,RhoGAM,rh immune globulin
3614,RIA,radioimmunoassay
3615,RIBA,recombinant immunoblot assay
3616,RICE,"rest, ice, compression, elevation"
3617,RID,radial immunodiffusion
3618,RIE,recorded in error
3619,RIF,rifampin
3620,RIFA,right inner forearm
3621,RIG,rabies immune globulin
3622,RIH,right inguinal herniorrhaphy
3623,RIND,reversible ischemic neurologic deficit
3624,RIU,radioactive iodine uptake (test)
3625,RK,radial keratotomy
3626,RL,Ringer's Lactate
3627,RLE,right lower extremity
3628,RLF,retrolental fibroplasia
3629,RLFa,right lateral forearm
3630,RLL,right lower (lung) lobe
3631,RLQ,right lower quadrant (abdomen)
3632,RLS,restless legs syndrome
3633,RLW,right lateral wrist
3634,RM,ruptured membranes
3635,RMA,refuse(s) medical assistance
3636,RML,right mediolateral
3637,RMP,rifampin
3638,RMSF,rocky mountain spotted fever
3639,RMT,retromolar trigone
3640,RN,Registered Nurse
3641,Rn,Radon (element)
3642,RN-C,Registered Nurse-Certified (by ANCC)
3643,RNA,ribonucleic acid
3644,RNFA,Registered Nurse First Assistant (surgery)
3645,RNP,ribonucleoprotein
3646,RNST,reactive non stress test
3647,Ro,Ro antigen
3648,RO,reverse osmosis
3649,ROA,right occiput anterior
3650,ROFA,right outer forearm
3651,ROI,release of information
3652,ROM,rupture of membranes
3653,ROP,retinopathy of prematurity
3654,ROPD,reversible obstructive pulmonary disease
3655,ROS,review of systems
3656,ROT,right occiput transverse
3657,rot.,rotation
3658,RP,radial pulse
3659,RPE,ratings of perceived exertion
3660,RPF,renal plasma flow
3661,RPG,retrograde pyelogram
3662,RPGN,rapidly progressive glomerulonephritis
3663,RPh,registered pharmacist
3664,RPM,revolutions per minute
3665,RPO,right posterior oblique
3666,RPP,rate pressure product
3667,RPR,rapid plasma reagent (test)
3668,RPT,rifapentine
3669,RQ,respiratory quotient
3670,RR,relative risk
3671,RRA,registered record administrator
3672,RRE,"round, reactive, equal"
3673,RRL,registered records librarian
3674,rRNA,ribosomal RNA
3675,RRP,radical retropubic prostatectomy
3676,RRR,regular rate and rhythm
3677,RRT,renal replacement therapy
3678,RS,remitting seronegative
3679,RS3PE,symmetrical synovitis with pitting edema
3680,RSB,regular sinus bradycardia
3681,RSBI,Rapid Shallow Breathing Index
3682,RSC,right subclavian
3683,RSD,reflex sympathetic dystrophy (syndrome)
3684,RSI,repetitive strain injury
3685,RSO,right salpingo oophorectomy
3686,RSR,regular sinus rate/rhythm
3687,RST,regular sinus tachycardia
3688,RSV,Rous sarcoma virus
3689,RT,radiation therapy
3690,rt,right
3691,RT-PCR,reverse transcriptase polymerase chain reaction
3692,RTA,renal tubular acidosis
3693,RTC,road traffic collision
3694,RTF,ready to feed
3695,RTI,reverse transcriptase inhibitors
3696,RTT,referral to treatment
3697,RTV,ritonavir (antiviral drug)
3698,RTW,return to work
3699,Ru,Ruthenium (element)
3700,RUA,right upper arm
3701,RUD,right uterine displacement
3702,RUE,right upper extremity
3703,RUG,resource utilization group
3704,RUL,right upper leg
3705,RUO,research use only
3706,rupt,rupture
3707,RUQ,right upper quadrant (abdomen)
3708,RUT,right upper thigh
3709,RV,right ventricle/ventricular
3710,RVA,"rabies vaccine, adsorbed"
3711,RVC,responds to verbal commands
3712,RVCT,report of verified case tuberculosis
3713,RVEF,right ventricular ejection factor
3714,RVF,right ventricular function
3715,RVH,right ventricular hypertrophy
3716,RVM,right ventricular mean
3717,RVR,rapid ventricular response
3718,RVS,Registered Vascular Specialist
3719,RVT,right vastus lateralis
3720,RVVC,recurrent vulvovaginal candidiasis
3721,Rx,prescription
3722,Rxn,reaction
3723,RXT,exotropia (right)
3724,S,son
3725,s,without
3726,S-A,sino-atrial
3727,s.c.,subcutaneous(ly)
3728,s.o.s.,if necessary
3729,S/A,sugar and acetone
3730,S/E,side effects
3731,S/P,status post (following)
3732,S/S,signs and symptoms
3733,S/Sx,signs/symptoms
3734,s/w,somewhat
3735,S1,first heart sound
3736,S2,second heart sound
3737,S3,third heart sound
3738,S4,fourth heart sound
3739,SA,surface area
3740,sa,according to art (secundum artem)
3741,SA node,sinoatrial node
3742,SAARD,slow-acting antirheumatic drug(s)
3743,SAB,spontaneous abortion
3744,SAC,short arm cast
3745,SAD,seasonal affective disorder
3746,SAE,serious adverse event
3747,SAH,subarachnoid hemorrhage
3748,SAID,steroidal anti-inflammatory drugs
3749,SALT,speech and language therapy
3750,SANE,sexual assault nurse examiner
3751,SaO2,arterial blood-oxygen saturation
3752,SARS,severe acute respiratory syndrome
3753,SAS,statistical analysis system
3754,SAT,serum agglutination test
3755,sat,"saturate, saturation"
3756,SAU,standard IgA beta-2 glycoprotein unit
3757,SAVE,"screen, ask, validate, evaluate/educate"
3758,SB,spina bifida
3759,Sb,Antimony (stibium) (element)
3760,SBAR,"situation, background, assessment, recommendation"
3761,SBE,subacute bacterial endocarditis
3762,SBFT,small bowel follow-through (x-ray)
3763,SBGM,self blood glucose monitoring
3764,SBO,small bowel obstruction
3765,SBP,systolic blood pressure
3766,sbp,spontaneous bacterial peritonitis
3767,SBS,small bowel series
3768,Sc,Scandium (element)
3769,SC,subcutaneous
3770,sc,subcutaneous(ly)
3771,SCA,sudden cardiac arrest
3772,SCAD,schizoaffective disorder
3773,SCAT,sheep cell agglutination test
3774,SCC,squamous cell carcinoma
3775,ScD,Doctor of Science
3776,SCD,sequential compression device
3777,SCFE,slipped capital femoral epiphysis
3778,SCI,spinal cord injury
3779,sci,science
3780,SCID,severe combined immunodeficiency
3781,SCJ,sternoclavicular joint
3782,SCLC,small cell lung cancer
3783,SCLE,subacute cutaneous lupus erythematosus
3784,ScM,Master of Science
3785,SCM,sternocleidomastoid
3786,SCN,suprachiasmatic nucleus
3787,SCr,serum creatinine
3788,SCT,stem cell transplantation
3789,SD,standard deviation
3790,SDAT,senile dementia of the Alzheimer type
3791,SDH,subdural hematoma
3792,SDP,single donor platelets
3793,SDS,sodium dodecyl sulfate
3794,SDSU,same-day surgery unit
3795,SDT,speech discrimination threshold (audiometry)
3796,SE,substantially equivalent
3797,Se,Selenium (element)
3798,sec,second (time or sequence)
3799,Sed rate,sedimentation rate
3800,seg,segmented (white cells)
3801,SEM,scanning electron microscopy
3802,SEMI,subendocardial myocardial infarction
3803,semih.,half an hour
3804,sens,sensitivity
3805,seq,sequence
3806,Ser,serine
3807,SERM,selective estrogen receptor modulator
3808,SF,sugar free
3809,SFe,Serum Iron
3810,SFI,Spondylitis Functional Index
3811,SG,Swan-Ganz catheter
3812,SGA,small for gestational age
3813,SGOT,serum glutamic oxaloacetic transaminase
3814,SGPT,serum glutamic-pyruvic transaminase
3815,SGS,subglottic stenosis
3816,SGU,standard IgG beta-2 glycoprotein unit
3817,SH,serum hepatitis
3818,sh,shoulder
3819,SHE,"safety, health and environment"
3820,shld,shoulder
3821,SHP,hyperparathyroidism
3822,SHU,special housing unit
3823,SHx,social history
3824,SI,serious incident
3825,Si,Silicon (element)
3826,SI units,International System of Units (Systeme International)
3827,SIA,strip immunoblot assay
3828,SIADH,syndrome of inappropriate antidiuretic hormone
3829,SIB,self-injurious behavior
3830,sib,sibling
3831,SICU,surgical intensive care unit
3832,SIDS,sudden infant death syndrome
3833,SIE,stroke in evolution
3834,sig,signal
3835,Sig.,write on label (signa)
3836,SIL,squamous intraepithelial lesion
3837,sim,similar and simplated
3838,SIMD,substance-induced mood disorder
3839,simul,simultaneously
3840,SIMV,synchronized intermittent mandatory ventilation
3841,SIP,sterilization in place
3842,SiPAP,synchronized inspiratory positive airway pressure
3843,SIRES,"stabilize, identify toxin, reverse effect, eliminate toxin, support"
3844,SIRI,serious incident requiring investigation
3845,SIRS,systemic inflammatory response syndrome
3846,SIS,saline infusion sonohysterosalpingography
3847,SIVP,slow intravenous push
3848,SIW,self-inflicted wound
3849,SJS,Stevens-Johnson syndrome
3850,SJT,situational judgement test
3851,SK,streptokinase (thrombolytic)
3852,skel,skeletal
3853,SL,sensation level
3854,sl,slight
3855,SLB,short leg brace
3856,SLD,specific learning disabilities
3857,SLE,systemic lupus erythematosus
3858,SLP,speech-language pathology
3859,SLR,straight leg raise
3860,SLT,speech and language therapy
3861,SM,synovial membrane
3862,sm,small
3863,Sm,Samarium (element)
3864,SMA,sequential multiple analyzer
3865,SMAC,sequential multiple analyzer computer
3866,SMBG,self-monitoring of blood glucose
3867,SME,significant medical event
3868,SMG,submandibular gland
3869,SMR,submucous resection
3870,SMU,standard IgM beta-2 glycoprotein unit
3871,SMZ,sulfamethoxazole
3872,Sn,Tin (element)
3873,SNF,skilled nursing facility
3874,SNHL,sensorineural hearing loss
3875,SNOMED,systematized nomenclature of medicine
3876,SNP,single nucleotide polymorphism
3877,SNRI,serotonin and norepinephrine reuptake inhibitor
3878,snRNP,small nuclear ribonucleoproteins
3879,SNS,supplemental nursing system
3880,SO,significant other
3881,SO2,Sulfate
3882,SOAP,"subjective, objective, assessment, plan"
3883,SOAPIER,"subjective, objective, assessment, plan, intervention, evaluation, response"
3884,SOB,short(ness) of breath
3885,SOBE,shortness of breath on exertion
3886,SOBOE,short of breath on exertion
3887,SOC,standard of care
3888,SOD,superoxide dismutase
3889,SOI,severity of illness
3890,sol,solution
3891,SOL,space occupying lesion
3892,soln,solution
3893,SOM,serous otitis media
3894,SOMI,sternal occipital mandibular immobilizer
3895,sono,sonogram
3896,SONP,soft organs not palpable
3897,SOP,standard operating procedure
3898,SOS,sinusoidal obstruction syndrome
3899,SP,suprapubic (catheter)
3900,sp,specific gravity
3901,sp gr,specific gravity
3902,sp. Gr.,specific gravity
3903,SP/GP,suicide precautions/general precautions
3904,SPA,sperm penetration assay
3905,SpA,spondylarthropathy
3906,SPAP,systolic pulmonary artery pressure
3907,SPC,specialist palliative care
3908,SPCA,Society for the Prevention of Cruelty to Animals
3909,spec,specimen
3910,SPECT,single-photon emission computed tomography
3911,SPEP,serum protein electrophoresis
3912,SPF,skin/sun protection factor
3913,sph,spherical
3914,SPLATT,split anterior tibial tendon transfer
3915,SpO2,pulse oxygen saturation (pulse oximetry)
3916,spon AB,spontaneous abortion
3917,spont,spontaneous
3918,spp,species
3919,SPP,suprapubic prostatectomy
3920,spt.,spirit
3921,sq,squamous
3922,SQ,subcutaneous(ly)
3923,SQV,saquinavir (antiviral drug)
3924,SR,slow/sustained-release [medication]
3925,Sr,Strontium (element)
3926,SRD,single rising dose
3927,SRI,serotonin reuptake inhibitor
3928,sRNA,soluble RNA
3929,SRO,single room occupancy
3930,SROM,spontaneous rupture of membranes
3931,SRS,slow-reacting substance
3932,SRSA,slow-reacting substance of anaphylaxis
3933,SRT,speech reception threshold on audiometry
3934,SS,Sjogren's syndrome
3935,ss,one half (semis)
3936,SS#,Social Security Number
3937,SSA,Social Security Administration
3938,SSc,systemic sclerosis
3939,SSD,somatic symptom disorder
3940,SSDI,Social Security disability insurance
3941,ssDNA,single-stranded DNA
3942,SSE,soap suds enema
3943,SSEP,somatosensory evoked potentials
3944,SSI,surgical site infection
3945,SSKI,saturated solution of potassium iodide
3946,SSN,Social Security Number
3947,SSNHL,sudden sensorineural hearing loss
3948,SSO,second surgical opinion
3949,SSPE,subacute sclerosing panencephalitis
3950,SSRI,selective serotonin reuptake inhibitor
3951,SSS,sick sinus syndrome
3952,SSSS,staphylococcal scalded skin syndrome
3953,SSZ,sulfasalazine
3954,st,straight
3955,ST,sinus tachycardia
3956,st.,let it/them stand
3957,Staph,staphylococcus
3958,START,simple triage and rapid treatment
3959,STAT,"immediately, at once (statim)"
3960,stb,stillborn
3961,STD,sexually transmitted disease
3962,std,standard
3963,STEMI,ST-segment elevation myocardial infarction
3964,ster,sterile
3965,STG,short-term goals
3966,STH,somatotrophic hormone (somatotropin)
3967,STI,sexually transmitted infection
3968,stim,stimulation
3969,STJ,scapulothoracic joint
3970,STM,short-term memory
3971,Strep,streptococcus
3972,struct,structure
3973,STS,serologic test for syphilis
3974,STSG,split thickness skin graft
3975,STT,short term tests
3976,STU,skin test unit
3977,STV,short term variability
3978,subcu,subcutaneous(ly)
3979,subcut,subcutaneous(ly)
3980,subling,sublingual (under tongue)
3981,subQ,subcutaneous
3982,subst,substance
3983,SUD,single-use device
3984,SUDs,single use devices
3985,SUI,stress urinary incontinence
3986,SUID,sudden unexpected infant death
3987,sup,superior
3988,supf.,superficial
3989,supp,suppository
3990,supr,"superior, supervision"
3991,surg,surgical
3992,susp,suspension
3993,sut,suture
3994,SV,stroke volume
3995,Sv,sievert (unit)
3996,SVC,superior vena cava
3997,SVD,spontaneous vaginal delivery
3998,SVE,sterile vaginal examination
3999,SVR,sustained virologic response
4000,SVRI,systemic vascular resistance index
4001,SVT,supraventricular tachycardia
4002,SW,social worker
4003,SWD,short wave diathermy
4004,SWI,surgical wound infection
4005,Sx,symptoms
4006,SX P,sexual precautions
4007,sym,symmetrical
4008,symp,symptoms
4009,syn,synthetic
4010,sync,synchronization
4011,synth,synthetic
4012,syph,syphilis
4013,syr,syringe
4014,Sz,seizure
4015,Sz P,seizure precautions
4016,T,temperature
4017,T Bili,total bilirubin
4018,T&A,tonsillectomy and adenoidectomy
4019,T&C,type and cross
4020,T&H,type and hold
4021,T&S,type and screen
4022,T&X,type and crossmatch
4023,T-hold,transportation hold (law enforcement)
4024,T.A.T.,toxin-antitoxin
4025,t.d.s.,to be taken three times daily
4026,T.I.,thoracic inlet
4027,t.i.d.,three times a day (ter in die)
4028,t.i.n.,three times a night
4029,T/C,to consider
4030,T3,triiodothyronine
4031,T4,thyroxine
4032,TA,transactional analysis
4033,Ta,Tantalum (element)
4034,tab,tablet
4035,TAB,therapeutic abortion
4036,TAC,"time, amount, character (emesis, bleeding, drainage, etc.)"
4037,tachy,tachycardia
4038,TAF,triage assessment form
4039,TAH,transfusion-associated hepatitis
4040,TAH-t,total artificial heart
4041,TAMI,thrombolysis and angioplasty in myocardial infarction
4042,TAR,total ankle replacement
4043,TAROM,total active range of motion
4044,TAT,turnaround time
4045,TAVI,transcatheter aortic valve implantation
4046,Tb,Terbium (element)
4047,TB,tuberculin
4048,TBA,to be admitted
4049,TBB,transbronchial biopsy
4050,TBBMD,total body bone mineral density
4051,tbc,tubercle bacillus
4052,TBD,to be determined
4053,TBE,tick-borne encephalitis
4054,TBG,thyroid-binding globulin
4055,TBI,traumatic brain injury
4056,TBP,thrombophlebitis
4057,TBSA,total body surface area
4058,Tbsp,tablespoon
4059,TBT,tracheobronchial tree
4060,TBW,total body water
4061,TC,total cholesterol
4062,Tc,Technetium (element)
4063,TC&DB,"turn, cough, and deep breath"
4064,TCA,tricyclic antidepressant
4065,TCD,transcranial doppler
4066,TCDB,"turn, cough, deep breathe"
4067,TCE,trichloroethylene
4068,TCH,"turn, cough, hyperinflate"
4069,TCN,tetracycline
4070,TCP,transcutaneous pacer
4071,TcPCO2,transcutaneous carbon dioxide
4072,TCPL,time cycled pressure limited
4073,TCR,T cell (antigen) receptor
4074,TCU,transitional care unit
4075,TD,transdermal
4076,Td,tetanus diphtheria
4077,Tdap,tetanus diphtheria pertussis vaccine
4078,TDF,testes determining factor
4079,TDM,therapeutic drug monitoring
4080,TdP,Torsade's de Pointes
4081,TDWB,touch down weight bearing
4082,Te,tetanus
4083,TE,therapeutic equivalence
4084,TEA,tetraethylammonium
4085,tech,technician
4086,TED,thrombo embolic deterrent
4087,TEE,transesophageal echocardiography
4088,TEF,tracheoesophageal fistula
4089,TEM,transmission electron microscope
4090,temp,temperature
4091,TEN,toxic epidermal necrolysis
4092,TENS,transcutaneous electrical nerve stimulation
4093,TEP,tracheo-esophageal puncture
4094,TF,tube feeding
4095,TG,thyroglobulin
4096,TGA,"transposition of the great arteries (formerly TGV, transposition of the great vessels)"
4097,TGF,transforming growth factor
4098,TGV,thoracic gas volume
4099,Th,thorium
4100,TH,thyroid hormone
4101,THA,total hip arthroplasty
4102,THC,tetrahydrocannabinol (in marijuana and related)
4103,ther,"therapeutic, therapy"
4104,Thr,threonine
4105,THR,target heart rate
4106,Ti,Titanium (element)
4107,TIA,transient ischemic attack
4108,Tib,tibial
4109,TIBC,total iron-binding capacity
4110,TICU,trauma intensive care unit
4111,TID,three times a day (ter in die)
4112,TIH,tumor-induced hypercalcemia
4113,TIMI,thrombolysis in myocardial infarction
4114,tinct,tincture
4115,TIS,tumor in situ
4116,TJC,The Joint Commission
4117,TKA,total knee arthroplasty
4118,TKE,terminal knee extension
4119,TKO,to keep open (intravenous)
4120,TKR,total knee replacement
4121,Tl,Thallium (element)
4122,TL,total laryngectomy
4123,TLC,total life center
4124,TLE,temporal lobe epilepsy
4125,TLI,total lymphoid irradiation
4126,TLS,tumor lysis syndrome
4127,TLSO,thoracolumbar sacroorthosis
4128,Tm,Thulium (element)
4129,TM,tympanic membrane
4130,TMD,temporomandibular disorder
4131,TMJ,temporomandibular joint
4132,TMP,total membrane pressure
4133,TMP/SMX,trimethoprim-sulfamethoxazole
4134,TMR,trans-myocardial revascularization
4135,TMS,tympanic membranes
4136,TMT,treadmill test
4137,TN,trigeminal nerve
4138,TNBP,transurethral needle biopsy of prostate
4139,TNF,tumor necrosis factor
4140,TNF-I,tumor necrosis factor inhibitor
4141,TNM,tumor-node-metastasis
4142,TNS,transcutaneous nerve stimulation
4143,TNT,trinitrotoluene
4144,TNTC,too numerous to count
4145,TNTM,too numerous to mention
4146,TO,telephone order
4147,Toco,tocotransducer
4148,TOD,target organ damage
4149,TOE,transesophageal echocardiography
4150,TOF,Tetralogy of Fallot
4151,tol,tolerate(s)
4152,TOLAC,trial of labor after cesarean section
4153,TOP,termination of pregnancy
4154,top,topically
4155,TORB,telephone order read back
4156,TORCH,"toxoplasmosis, other (hepatitis b, syphilis), rubella, cytomegalovirus, herpes simplex 2"
4157,TORP,total ossicular replacement (prosthesis)
4158,TOS,thoracic outlet syndrome
4159,tox,"toxic, toxicity"
4160,TP,total protein
4161,tPA,tissue plasminogen activator
4162,TPA,total parenteral alimentation
4163,TPE,total plasma exchange
4164,TPI,treponema pallidum immobilization (syphilis test)
4165,TPO,thyroid peroxidase
4166,TPPA,treponema pallidum particle agglutination (assay)
4167,TPR,"temperature, pulse, respiration"
4168,TPUR,transperineal urethral resection
4169,TQM,total quality management
4170,TR,tubal reversal
4171,tr,trace
4172,trach,tracheotomy
4173,TRALI,transfusion-related acute lung injury
4174,trans,transverse
4175,TRAP,"tremor, rigidity, akinesia or postural instability bradykinesia, and postural instability"
4176,TRBF,total renal blood flow
4177,Treg,regulatory t cell
4178,TRF,thyrotropin-releasing factor
4179,TRH,(thyroid or thyrotropin)-releasing hormone
4180,Trich,trichomonas
4181,Trig,triglyceride
4182,trit.,"triturate, grind"
4183,TRMA,trauma
4184,tRNA,transfer ribonucleic acid
4185,TRO,temporary restraining order
4186,Trp,tryptophan
4187,TS,Tourette syndrome
4188,TSD,time since death
4189,TSE,transmissible spongiform encephalopathies
4190,TSH,thyroid-stimulating hormone
4191,TSLO,thoracic-lumbar-sacral orthosis
4192,tsp,teaspoon
4193,TSS,toxic shock syndrome
4194,TST,tuberculin skin test
4195,TT,tilt table
4196,TTE,transthoracic echocardiography
4197,tTG,antitransglutaminase
4198,TTOM,to take out medicine
4199,TTP,thrombotic thrombocytopenic purpura
4200,TTS,temporary threshold shift
4201,TU,titer unit
4202,Tues,Tuesday
4203,TUI,transurethral incision
4204,TUIP,transurethral incision of the prostate
4205,TUMA,transurethral microwave antenna
4206,TUMT,transurethral microwave thermotherapy
4207,TUNA,transurethral needle ablation
4208,TUPP,tobacco use prevention program
4209,TUR,transurethral resection
4210,TURBT,transurethral resection of a bladder tumor
4211,TURP,transurethral resection of the prostate
4212,TV,tidal volume
4213,TVH,total vaginal hysterectomy
4214,TVR,tricuspid valve replacement
4215,TVT,tension-free vaginal tape
4216,TWE,tap water enema
4217,Tx,treatment
4218,Tyr,tyrosine
4219,TZD,thiazolidinedione
4220,U,unit(s)
4221,U a,unit a
4222,U-100,100 units per milliliter (insulin)
4223,U/A,urinalysis
4224,U/L,upper and lower
4225,u/o,urine output
4226,U/P,uretero pelvic
4227,U/S,ultrasound
4228,UA,unstable angina
4229,Ua,uranium
4230,UAC,umbilical artery catheter
4231,UAO,upper airway obstruction
4232,UAP,unlicensed assistive personnel
4233,UB,upper body
4234,UC,unchanged
4235,UCB,umbilical cord blood
4236,UCC,urothelial cell carcinoma
4237,UCG,urinary chorionic gonadotropin
4238,UCL,ulnar collateral ligament
4239,UCTD,undifferentiated connective tissue disease
4240,UD,unit dose
4241,UDAB,urine drugs of abuse
4242,UE,upper extremity
4243,UEC,urgent and emergency care
4244,UES,upper esophageal sphincter
4245,UF,ultrafiltration
4246,UFC,urinary free cortisol
4247,UFH,unfractionated heparin
4248,UFR,ultrafiltration rate
4249,ug,microgram (0.000001 gram)
4250,UG,urogenital
4251,ugE,microgE
4252,UGI,upper gastrointestinal
4253,UHF,ultrahigh frequency
4254,uL,microliter
4255,UL,(tolerable) upper intake level
4256,ul,ulnar
4257,ULBW,ultra low birth weight
4258,ULNS,upper limits of normal size
4259,umb,"umbilicus, umbilical"
4260,UMN,upper motor neuron
4261,UN,united nations
4262,ung,ointment (unguentum)
4263,UNICEF,United Nations International Children's Emergency Fund
4264,unilat.,unilateral
4265,unk,unknown
4266,UNOS,United Network For Organ Sharing
4267,UO,urinary output
4268,UOP,urinary output
4269,UOQ,upper outer quadrant
4270,uPA,urokinase plasminogen activator
4271,UPC,units of packed cells
4272,UPDRS,Unified Parkinson's Disease Rating Scale
4273,UPJ,uretero pelvic junction
4274,UPP,urethral pressure profile
4275,UPT,urine pregnancy test
4276,UQ,upper quadrant
4277,UR,utilization review
4278,ur,urine
4279,URI,upper respiratory infection
4280,Urol,urology
4281,URQ,upper right quadrant
4282,URT,upper respiratory tract
4283,URTI,upper respiratory tract infection
4284,US,ultrasonic
4285,USP,United States Pharmacopeia
4286,uSpA,undifferentiated spondylarthropathy
4287,ut,uterus
4288,ut. dict.,as directed (ut dictum)
4289,UTD,up to date
4290,UTox,urine toxicology screen (for drugs)
4291,UTV,ultrasound transmission velocity
